id_candidato,id_vacante,proceso,fecha,id_rechazo,cambio_vacante
1059,2491,2,20180102,0,0
1059,2491,4,20180112,0,0
1060,2447,1,20180101,0,0
1060,2447,2,20180101,0,0
1060,2447,4,20180112,0,0
1061,2447,1,20180101,0,0
1061,2447,2,20180101,0,0
1061,2447,3,20180109,0,0
1061,2447,4,20180112,0,0
1062,2369,1,20180101,0,0
1062,2369,2,20180101,0,0
1062,2369,3,20180109,0,0
1062,2369,4,20180112,0,0
1063,2519,1,20180101,0,0
1063,2519,2,20180102,0,0
1063,2519,3,20180109,0,0
1063,2519,4,20180112,0,0
1064,2348,1,20180101,0,0
1064,2348,2,20180102,0,0
1064,2348,4,20180112,0,0
1065,2429,1,20180101,0,0
1065,2429,2,20180102,0,0
1065,2429,4,20180112,0,0
1066,2531,1,20180101,0,0
1066,2531,2,20180101,0,0
1066,2531,4,20180112,0,0
1067,2560,1,20180101,0,0
1067,2560,2,20180103,0,0
1067,2560,3,20180109,0,0
1067,2560,4,20180112,0,0
1068,2602,1,20180101,0,0
1068,2602,2,20180102,0,0
1068,2602,3,20180111,0,0
1068,2602,4,20180115,0,0
1069,2472,1,20180101,0,0
1069,2472,2,20180103,0,0
1069,2472,3,20180111,0,0
1069,2472,4,20180115,0,0
1070,2440,1,20180101,0,0
1070,2440,2,20180101,0,0
1070,2440,4,20180115,0,0
1071,2331,1,20180101,0,0
1071,2331,2,20180102,0,0
1071,2331,3,20180112,0,0
1071,2331,4,20180116,0,0
1072,2608,1,20180101,0,0
1072,2608,2,20180102,0,0
1072,2608,4,20180116,0,0
1073,2515,1,20180101,0,0
1073,2515,2,20180102,0,0
1073,2515,3,20180112,0,0
1073,2515,4,20180116,0,0
1074,2489,1,20180101,0,0
1074,2489,2,20180101,0,0
1074,2489,3,20180112,0,0
1074,2489,4,20180116,0,0
1075,2342,1,20180101,0,0
1075,2342,2,20180102,0,0
1075,2342,3,20180112,0,0
1075,2342,4,20180116,0,0
1076,2369,1,20180101,0,0
1076,2369,2,20180102,0,0
1076,2369,4,20180116,0,0
1077,2553,1,20180101,0,0
1077,2553,2,20180102,0,0
1077,2553,4,20180116,0,0
1078,2623,1,20180110,0,0
1078,2623,2,20180111,0,0
1078,2623,3,20180112,0,0
1078,2623,4,20180119,0,0
1079,2507,1,20180111,0,0
1079,2507,2,20180112,0,0
1079,2507,3,20180116,0,0
1079,2507,4,20180119,0,0
1080,2324,1,20180112,0,0
1080,2324,2,20180112,0,0
1080,2324,3,20180118,0,0
1080,2324,4,20180122,0,0
1081,2523,1,20180115,0,0
1081,2523,2,20180115,0,0
1081,2523,3,20180118,0,0
1081,2523,4,20180122,0,0
1082,2316,1,20180115,0,0
1082,2316,2,20180116,0,0
1082,2316,3,20180118,0,0
1082,2316,4,20180122,0,0
1083,2456,1,20180115,0,0
1083,2456,2,20180115,0,0
1083,2456,3,20180116,0,0
1083,2456,4,20180122,0,0
1084,2614,1,20180115,0,0
1084,2614,2,20180116,0,0
1084,2614,3,20180119,0,0
1084,2614,4,20180123,0,0
1085,2615,1,20180117,0,0
1085,2615,2,20180118,0,0
1085,2615,3,20180118,0,0
1085,2615,4,20180123,0,0
1086,2603,1,20180112,0,0
1086,2603,2,20180113,0,0
1086,2603,3,20180119,0,0
1086,2603,4,20180123,0,0
1087,2441,1,20180115,0,0
1087,2441,2,20180116,0,0
1087,2441,3,20180119,0,0
1087,2441,4,20180123,0,0
1088,2455,1,20180112,0,0
