id_candidato,id_vacante_sistema,id_rechazo,1,2,3,4,5
1199,2410,0,20180307,20180307,20180309,20180313,
1436,2411,9,20180328,20180328,,,20180329
1308,2411,0,20180404,20180404,,,
1405,2411,0,20180405,20180407,,,
1558,2411,0,20180405,20180405,,,
1259,2411,0,20180413,20180413,20180413,20180417,
1597,2412,16,20180419,20180419,,,20180420
1565,2413,1,20180503,20180504,,,20180504
1421,2413,2,20180503,20180504,,,20180504
1349,2413,0,20180504,20180505,,,
1167,2415,0,20180221,20180222,20180222,20180226,
1193,2416,0,20180307,20180308,20180309,20180313,
1209,2416,0,20180307,20180307,20180315,20180320,
1394,2416,10,20180307,20180308,,,20180308
1357,2416,13,20180307,20180307,,,20180308
1361,2416,16,20180307,20180308,,,20180308
1282,2416,0,20180418,20180420,20180420,20180424,
1572,2419,16,20180410,20180410,,,20180411
1566,2419,0,20180424,20180425,,,
1263,2420,0,20180410,20180410,20180412,20180416,
1298,2421,0,20180424,20180424,20180426,20180430,
1326,2422,1,20180111,20180113,,,20180112
1450,2422,1,20180122,20180124,,,20180123
1113,2422,0,20180123,20180124,20180131,20180202,
1157,2423,0,20180215,20180216,20180216,20180220,
1165,2424,0,20180219,20180219,20180222,20180226,
1374,2424,1,20180219,20180220,,,20180220
1396,2424,13,20180226,20180226,,,20180227
1364,2424,13,20180227,20180227,,,20180228
1228,2424,0,20180312,20180312,20180320,20180326,
1215,2426,0,20180313,20180313,20180315,20180320,
1567,2427,1,20180412,20180413,,,20180413
1288,2427,0,20180417,20180418,20180420,20180424,
1564,2428,16,20180425,20180426,,,20180426
1422,2428,0,20180503,20180505,,,
1065,2429,0,20180101,20180102,,20180112,
1476,2430,16,20180309,20180310,,,20180310
1236,2430,0,20180327,20180330,20180329,20180402,
1332,2431,1,20180327,20180327,,,20180328
1293,2431,0,20180417,20180417,20180420,20180424,
1526,2432,1,20180117,20180117,,,20180118
1601,2432,1,20180207,20180209,,,20180208
1185,2432,0,20180228,20180301,20180302,20180306,
1204,2433,0,20180312,20180313,20180314,20180316,
1431,2434,2,20180410,20180411,,,20180411
1277,2434,0,20180413,20180415,20180416,20180419,
1299,2435,0,20180423,20180424,20180426,20180430,
1114,2436,0,20180122,20180122,20180126,20180202,
1416,2437,1,20180411,20180412,,,20180412
1403,2437,5,20180412,20180413,,,20180413
1392,2437,2,20180423,20180424,,,20180424
1323,2437,0,20180502,20180502,20180404,20180408,
1292,2438,0,20180217,20180217,20180420,20180424,
